player_name,position,at_bat,hits,average
Tommy La Stella,3B,1316,360,0.274
Mike Yastrzemski,RF,563,168,0.298
Donovan Solano,2B,1473,407,0.276
Buster Posey,C,4575,1380,0.302
Brandon Belt,1B,3811,1003,0.263
Brandon Crawford,SS,4402,1099,0.250
Alex Dickerson,LF,586,160,0.273
Austin Slater,CF,569,147,0.258
Kevin Gausman,P,56,2,0.036
